0 1 2
0 31 76
0 51 40
0 57 36
0 60 48
0 63 84
0 66 69
0 86 65
0 92 79
0 121 21
0 124 47
0 126 74
0 128 29
0 132 35
0 144 90
0 146 60
0 217 6
0 235 39
0 257 53
0 272 69
0 275 1
0 295 8
0 313 65
0 327 47
0 338 93
0 346 33
0 350 59
0 353 33
0 357 27
0 373 30
0 375 47
0 377 14
0 381 52
0 384 62
0 386 47
0 396 25
0 400 96
0 406 84
0 407 61
0 422 70
0 428 10
0 430 75
0 443 13
0 445 77
0 455 93
0 458 20
0 459 9
0 460 64
0 463 93
0 465 76
0 476 5
0 481 43
0 495 6
0 501 30
0 521 47
0 559 42
0 571 66
0 574 73
0 585 7
0 588 15
0 594 52
0 597 1
0 606 80
0 613 51
0 615 97
0 652 98
0 677 76
0 690 12
0 713 5
0 719 37
0 730 38
0 737 57
0 748 95
0 767 63
0 800 83
0 806 42
0 827 38
0 845 57
0 848 15
0 850 21
0 854 84
0 858 58
0 871 100
0 878 23
0 885 75
0 903 38
0 915 25
0 916 38
0 921 83
0 941 61
0 968 90
0 972 52
0 975 65
0 981 78
0 985 69
1 20 58
1 23 17
1 32 12
1 35 36
1 37 95
1 44 79
1 49 26
1 56 92
1 57 41
1 66 22
1 74 53
1 77 92
1 78 98
1 80 15
1 89 85
1 105 85
1 138 79
1 157 72
1 159 18
1 180 24
1 181 78
1 197 96
1 218 4
1 248 6
1 271 87
1 281 6
1 289 91
1 290 23
1 293 18
1 294 14
1 304 59
1 309 3
1 313 6
1 319 98
1 320 67
1 345 11
1 348 38
1 351 52
1 353 77
1 380 28
1 390 3
1 391 97
1 420 99
1 422 99
1 427 19
1 432 87
1 502 74
1 511 53
1 527 77
1 528 4
1 549 5
1 557 22
1 560 24
1 569 1
1 589 66
1 595 85
1 602 19
1 611 78
1 613 89
1 616 5
1 634 27
1 638 27
1 639 98
1 652 93
1 662 65
1 676 25
1 682 93
1 692 80
1 696 25
1 709 30
1 715 76
1 730 53
1 732 61
1 760 27
1 785 16
1 787 32
1 806 34
1 807 59
1 810 82
1 834 22
1 859 54
1 866 17
